[2025-10-03 10:11:54] Process: UPLOAD_TEMPLATE | Latency: 0.009 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 62
[2025-10-03 10:11:55] Process: UPLOAD_TEMPLATE | Latency: 0.005 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.004 ms | Packet Loss: 1 | Total Packet: 63
[2025-10-03 10:11:55] Process: UPLOAD_TEMPLATE | Latency: 0.010 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.005 ms | Packet Loss: 1 | Total Packet: 64
[2025-10-03 10:11:56] Process: UPLOAD_TEMPLATE | Latency: 0.009 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 65
[2025-10-03 10:11:56] Process: UPLOAD_TEMPLATE | Latency: 0.033 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.024 ms | Packet Loss: 1 | Total Packet: 66
[2025-10-03 10:11:57] Process: UPLOAD_TEMPLATE | Latency: 0.007 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.026 ms | Packet Loss: 1 | Total Packet: 67
[2025-10-03 10:11:57] Process: UPLOAD_TEMPLATE | Latency: 0.016 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.009 ms | Packet Loss: 1 | Total Packet: 68
[2025-10-03 10:11:58] Process: UPLOAD_TEMPLATE | Latency: 0.008 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.008 ms | Packet Loss: 1 | Total Packet: 69
[2025-10-03 10:11:58] Process: UPLOAD_TEMPLATE | Latency: 0.009 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 70
[2025-10-03 10:11:59] Process: UPLOAD_TEMPLATE | Latency: 0.015 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 71
[2025-10-03 10:11:59] Process: UPLOAD_TEMPLATE | Latency: 0.032 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.017 ms | Packet Loss: 1 | Total Packet: 72
[2025-10-03 10:12:00] Process: UPLOAD_TEMPLATE | Latency: 0.026 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 73
[2025-10-03 10:12:00] Process: UPLOAD_TEMPLATE | Latency: 0.014 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.012 ms | Packet Loss: 1 | Total Packet: 74
[2025-10-03 10:12:01] Process: UPLOAD_TEMPLATE | Latency: 0.008 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 75
[2025-10-03 10:12:01] Process: UPLOAD_TEMPLATE | Latency: 0.016 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.008 ms | Packet Loss: 1 | Total Packet: 76
[2025-10-03 10:12:02] Process: UPLOAD_TEMPLATE | Latency: 0.023 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.007 ms | Packet Loss: 1 | Total Packet: 77
[2025-10-03 10:12:02] Process: UPLOAD_TEMPLATE | Latency: 0.013 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.010 ms | Packet Loss: 1 | Total Packet: 78
[2025-10-03 10:12:03] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.007 ms | Packet Loss: 1 | Total Packet: 79
[2025-10-03 10:12:03] Process: UPLOAD_TEMPLATE | Latency: 0.033 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.027 ms | Packet Loss: 1 | Total Packet: 80
[2025-10-03 10:12:04] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.027 ms | Packet Loss: 1 | Total Packet: 81
[2025-10-03 10:12:04] Process: UPLOAD_TEMPLATE | Latency: 0.010 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.004 ms | Packet Loss: 1 | Total Packet: 82
[2025-10-03 10:12:05] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.004 ms | Packet Loss: 1 | Total Packet: 83
[2025-10-03 10:12:05] Process: UPLOAD_TEMPLATE | Latency: 0.009 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.003 ms | Packet Loss: 1 | Total Packet: 84
[2025-10-03 10:12:06] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.003 ms | Packet Loss: 1 | Total Packet: 85
[2025-10-03 10:12:06] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 86
[2025-10-03 10:12:07] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 87
[2025-10-03 10:12:07] Process: UPLOAD_TEMPLATE | Latency: 0.015 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.009 ms | Packet Loss: 1 | Total Packet: 88
[2025-10-03 10:12:08] Process: UPLOAD_TEMPLATE | Latency: 0.007 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.008 ms | Packet Loss: 1 | Total Packet: 89
[2025-10-03 10:12:08] Process: UPLOAD_TEMPLATE | Latency: 0.014 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.007 ms | Packet Loss: 1 | Total Packet: 90
[2025-10-03 10:12:09] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.008 ms | Packet Loss: 1 | Total Packet: 91
[2025-10-03 10:12:09] Process: UPLOAD_TEMPLATE | Latency: 0.011 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.005 ms | Packet Loss: 1 | Total Packet: 92
[2025-10-03 10:12:10] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 93
[2025-10-03 10:12:10] Process: UPLOAD_TEMPLATE | Latency: 0.013 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 94
[2025-10-03 10:12:11] Process: UPLOAD_TEMPLATE | Latency: 0.022 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.009 ms | Packet Loss: 1 | Total Packet: 95
[2025-10-03 10:12:11] Process: UPLOAD_TEMPLATE | Latency: 0.019 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.003 ms | Packet Loss: 1 | Total Packet: 96
[2025-10-03 10:12:12] Process: UPLOAD_TEMPLATE | Latency: 0.007 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.012 ms | Packet Loss: 1 | Total Packet: 97
[2025-10-03 10:12:12] Process: UPLOAD_TEMPLATE | Latency: 0.014 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.007 ms | Packet Loss: 1 | Total Packet: 98
[2025-10-03 10:12:13] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.008 ms | Packet Loss: 1 | Total Packet: 99
[2025-10-03 10:12:13] Process: UPLOAD_TEMPLATE | Latency: 0.013 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.007 ms | Packet Loss: 1 | Total Packet: 100
[2025-10-03 10:12:14] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 101
